ID,Nombre,Formato,Categoria,Fecha
1,T&C Polla Colombia vs Ghana V1 MLCG.docx,Word,Concursos,01/07/2026
2,T&C Polla Colombia vs Ghana V1 MLCG.pdf,PDF,Concursos,01/07/2026
3,Conmemoracion Cumpleaños del Meta,JPG,Otros,01/07/2026
4,Cartelera Semanal Banner Web,JPG,Cartelera,02/07/2026
5,Fondo Cartelera Digital,JPG,Otros,02/07/2026
6,Cartelera semanal Redes x4,JPG,Cartelera,02/07/2026
7,Cartelera Semanal Historias x4,JPG,Cartelera,02/07/2026
8,Cartelera Semanal Pantallas TV girado,MP4,Cartelera,02/07/2026
9,Cartelera Semanal Pantallas Vertical & Reels,MP4,Cartelera,02/07/2026
10,Cartelera Semanal Carrusel Interactivo,JPG,Cartelera,02/07/2026
11,Promocion Preventa Moana Feed,JPG,Promoción,02/07/2026
12,Promocion Preventa Moana Stories,JPG,Promoción,02/07/2026
13,Promocion Preventa Moana Pantallas Hostizontales,JPG,Promoción,02/07/2026
14,Promocion Preventa Moana Banner Web,JPG,Promoción,03/07/2026
15,Cartelera Semanal Pantallas TV horizontales,MP4,Cartelera,03/07/2026
16,Imprmible Laberinto Minions CMYK,PDF,POP,03/07/2026
17,Promo Polla Futbolera Colombia Suiza Redes Feed,JPG,Concursos,07/07/2026
18,Promo Polla Futbolera Colombia Suiza Stories,JPG,Concursos,07/07/2026
19,Videos de promoción 50% (martes y miércoles),MP4,Promoción,07/07/2026
20,Plan de Trabajo Julio CMV Cibergenios,PDF,Otros,08/07/2026
21,Modificación Fondo de Cartelera Digital,JPG,Otros,08/07/2026
22,Cartelera semanal Redes x6,JPG,Cartelera,08/07/2026
23,Cartelera Semanal Historias x6,JPG,Cartelera,08/07/2026
24,Cartelera Semanal Banner Web,JPG,Cartelera,08/07/2026
25,Cartelera Semanal Carrusel Interactivo,JPG,Cartelera,08/07/2026
26,Portada Semanal Redes Feed,JPG,Cartelera,09/07/2026
27,Portada Semanal Redes Stories,JPG,Cartelera,09/07/2026
28,Cartelera Semanal Pantallas TV girado,MP4,Cartelera,09/07/2026
29,Cartelera Semanal Pantallas Vertical & Reels,MP4,Cartelera,09/07/2026
30,Cartelera Semanal Pantallas TV horizontales,MP4,Cartelera,09/07/2026
31,Modificación Fondo de Cartelera Digital,JPG,Otros,10/07/2026
32,Pulsar Costometraje Ajustado,MP4,Proyección,14/07/2026
33,Promoción Convenio Policia Nacional,JPG,Convenios,14/07/2026
34,Promoción Peluches Minions Pantallas Horizontales,JPG,Promoción,14/07/2026
35,Promoción Peluches Minions Redes Feed,JPG,Promoción,14/07/2026
36,Promoción Peluches Minions Stories,JPG,Promoción,14/07/2026
37,Videos de promoción 50% (martes y miércoles),MP4,Promoción,14/07/2026
38,Actualizació Precio Bonos Corporativos,JPG,Promoción,15/07/2026
39,Cortometraje Sicodelia ,MP4,Proyeccion,14/07/2026
40,Cartelera semanal Redes x6,JPG,Cartelera,15/07/2026
41,Cartelera Semanal Historias x6,JPG,Cartelera,15/07/2026
42,Cartelera Semanal Banner Web,JPG,Cartelera,15/07/2026
43,Cartelera Semanal Carrusel Interactivo,JPG,Cartelera,15/07/2026
44,Portada Semanal Redes Feed,JPG,Cartelera,15/07/2026
45,Portada Semanal Redes Stories,JPG,Cartelera,15/07/2026
46,Promocion ToyStory Nuevo Precio Balde Vasos,JPG,Promoción,15/07/2026
47,Cartelera Semanal Pantallas TV girado,MP4,Cartelera,15/07/2026
48,Cartelera Semanal Pantallas Vertical & Reels,MP4,Cartelera,15/07/2026
49,Cartelera Semanal Pantallas TV horizontales,MP4,Cartelera,15/07/2026
50,Promocion ToyStory Balde sin Vasos,JPG,Promoción,16/07/2026
51,Promocion ToyStory Balde sin Vasos Imprimible,PDF,Promoción,16/07/2026
52,Promocion ToyStory Balde sin Vasos Pantallas Horizontales,JPG,Promoción,16/07/2026
53,Actualización de Precios Tarjeta Club,JPG,Promoción,16/07/2026
54,Actualizació Precio Bonos Corporativos,JPG,Promoción,16/07/2026
55,Promoción Combo de Película Catálogo WhatsApp,JPG,Promoción,16/07/2026
56,Video Promoción Combos Minions ToyStory,MP4,Promoción,16/07/2026
57,Video Promoción Mohana Farock,MP4,Promoción,16/07/2026
58,Piezas Promo Combos Minions & Toy Story Redes Feed,JPG,Promoción,17/07/2026
59,Piezas Promo Combos Minions & Toy Story Pantallas Horizontales,JPG,Promoción,17/07/2026
60,Piezas Promo Combos Minions & Toy Story Stories,JPG,Promoción,17/07/2026
61,Piezas Promo Kit Spiderman Redes Feed,JPG,Promoción,17/07/2026
62,Piezas Promo Kit Spiderman Pantallas Horizontales,JPG,Promoción,17/07/2026
63,Piezas Promo Kit Spiderman Stories,JPG,Promoción,17/07/2026
64,Video Activación Tricolor 20 julio,MP4,Concursos,17/07/2026
65,Ficha Imprimible Concurso Kit Spiderman,PDF,Concursos,18/07/2026
66,Diseño QR Imprimible Activación Tricolor,PDF,Concursos,18/07/2026
67,Promocional Activación Tricolor 20Julio Redes Feed,JPG,Concursos,18/07/2026
68,Promocional Activación Tricolor 20Julio Stories,JPG,Concursos,18/07/2026
