"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18065539250471052,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🕷️⚽ Cuando una leyenda del fútbol se une al superhéroe favorito de millones... Messi y Spider-Man hacen equipo. Estreno: 29 de julio.",40,"07/01/2026 16:41",https://www.instagram.com/reel/DaROCjMEd1R/,"Reel de Instagram",,Total,868,580,20,4,0,1,0
17949176706214530,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🎉⚽ ¡Ya tenemos ganadora de nuestra Polla Futbolera! Colombia vs Portugal",80,"07/01/2026 15:03",https://www.instagram.com/reel/DaRCz5LCTMT/,"Reel de Instagram",,Total,878,543,17,0,0,1,0
18141292087719633,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro",,0,"07/31/2026 16:32",https://www.instagram.com/p/Dbec7miR2Nd/,"Imagen de Instagram",,Total,1630,819,45,2,0,0,0
18340700296270453,17841401781212395,ifmannn,"Farock Rodríguez","En el estreno de SPIDERMAN 🥹🕷️ me encanta ver la emoción de los niños cuando me ven🥹❤️ @cinemultiplexvillavicencio #villavicencio #spiderman",82,"07/31/2026 11:11",https://www.instagram.com/reel/Dbd3xaFsn5f/,"Reel de Instagram",,Total,47528,36901,905,67,13,47,0
17916107844221631,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🚨 ¡EL DÍA LLEGÓ! HOY ES EL ESTRENO OFICIAL Spider-Man: Brand New Day",152,"07/30/2026 16:08",https://www.instagram.com/reel/Dbb1QQIxmdA/,"Reel de Instagram",,Total,637,512,7,0,0,0,0
17864379696644596,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🍿 NUEVA CARTELERA (30 de Julio al 05 de Agosto) 🎬 Spider-Man, The Odyssey, Minions",47,"07/30/2026 11:49",https://www.instagram.com/reel/DbbXugDxQn4/,"Reel de Instagram",,Total,716,533,5,0,1,0,0
17963307075138373,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","¿Quién se cruzó ayer con este súper trabajador despachando combos o barriendo las salas? 😅👇 Spiderman en Cine Multiplex",44,"07/30/2026 10:37",https://www.instagram.com/reel/DbbPcEkRCVc/,"Reel de Instagram",,Total,19150,16633,451,53,10,31,18
18105451808025046,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","👤 Cliente: “¿Y qué incluye el precio de la boleta VIP?” 🍿 Nosotros automáticamente: 🕺💃✨",13,"07/28/2026 19:24",https://www.instagram.com/reel/DbXB-vFRxaX/,"Reel de Instagram",,Total,2482,1420,58,13,1,6,1
18098779757245124,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🎟️ ¡La preventa del preestreno de #SpiderMan ya comenzó!",16,"07/28/2026 18:55",https://www.instagram.com/reel/DbW-zeqRpUT/,"Reel de Instagram",,Total,1599,1133,14,3,0,1,1
18137530726596101,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","¡PREVENTA ACTIVADA! 🚨 Spider-Man: Brand New Day este Miércoles 29 de Julio",20,"07/28/2026 18:32",https://www.instagram.com/reel/DbW8PA_RXf8/,"Reel de Instagram",,Total,2011,1630,28,3,0,0,2
18435070219122557,17841401781212395,ifmannn,"Farock Rodríguez","Mi outfit este miércoles 29 de JULIO 🕷️ @todoaccesorios.col @cinemultiplexvillavicencio",18,"07/27/2026 17:09",https://www.instagram.com/reel/DbUNtmsvnAO/,"Reel de Instagram",,Total,39497,30322,1013,100,7,16,0
18008621105751373,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","¿Quién dijo que madrugar los fines de semana no tiene su recompensa? ☀️😎 FUNCIONES MATINALES",0,"07/27/2026 08:51",https://www.instagram.com/p/DbTVCcPDVOq/,"Imagen de Instagram",,Total,1167,568,10,6,1,0,2
18083721443648772,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","¡Pasar la plata nunca fue tan de película! 🔴📲🍿 Convenio DaviPlata",47,"07/22/2026 18:21",https://www.instagram.com/reel/DbHeQbIjkr8/,"Reel de Instagram",,Total,572,446,6,0,0,0,1
17965268775068807,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","¡La felicidad de mitad de semana cuesta la MITAD! 🎬💥 Martes y miércoles 50% OFF",11,"07/21/2026 17:34",https://www.instagram.com/reel/DbE0BVkAJKf/,"Reel de Instagram",,Total,400,280,4,0,0,0,0
18182310583404706,17841475624488202,cinemultiplexvillavicencio,"Cine Múltiplex Villacentro","🎉⚽ ¡Tenemos ganadora de nuestra Polla Futbolera Colombia vs Suiza!",68,"07/21/2026 17:28",https://www.instagram.com/reel/DbEzaLbikG9/,"Reel de Instagram",,Total,594,400,5,10,1,3,0
17863950690637367,17841445919128275,lauracamilahoyos_,"Laura Camila Hoyos","Y… ¿qué película desean ver? 🌊 @cinemultiplexvillavicencio",4,"07/21/2026 15:41",https://www.instagram.com/reel/DbEmWyDOHgU/,"Reel de Instagram",,Total,39564,20716,219,17,4,9,0
